"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas
American Dirt,Jeanine Cummins
"Chain of Gold (The Last Hours, #1)",Cassandra Clare
Beach Read,Emily Henry
"Reign (The Sainthood - Boys of Lowell High, #3)",Siobhan Davis
"Rebellion (The Sainthood - Boys of Lowell High, #2)",Siobhan Davis
The House in the Cerulean Sea,T.J. Klune
Dear Edward,Ann Napolitano
The Vanishing Half,Brit Bennett
Resurrection (The Sainthood - Boys of Lowell High #1),Siobhan Davis
My Dark Vanessa,Kate Elizabeth Russell
The Sun Down Motel,Simone St. James
Long Bright River,Liz Moore
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins
Oona Out of Order,Margarita Montimore
In Five Years,Rebecca Serle
Untamed,Glennon Doyle
The Guest List,Lucy Foley
The Girl with the Louding Voice,Abi Daré
Tweet Cute,Emma Lord
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson
"Sweep with Me (Innkeeper Chronicles, #4.5)",Ilona Andrews
The Jane Austen Society,Natalie Jenner
Before and After,Andrew Shanahan
"The Present (VanWest, #2)",Kenneth   Thomas
"Smoke Bitten (Mercy Thompson, #12)",Patricia Briggs
Mexican Gothic,Silvia Moreno-Garcia
"A Heart So Fierce and Broken (Cursebreakers, #2)",Brigid Kemmerer
"The Past (VanWest, #1)",Kenneth   Thomas
The Kingdom of Back,Marie Lu
The Book of Longings,Sue Monk Kidd
The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix
"Come Tumbling Down (Wayward Children, #5)",Seanan McGuire
A Good Neighborhood,Therese Anne Fowler
Home Before Dark,Riley Sager
"One of Us Is Next (One of Us Is Lying, #2)",Karen M. McManus
"Network Effect (The Murderbot Diaries, #5)",Martha Wells
The Shadows Between Us,Tricia Levenseller
The Glass Hotel,Emily St. John Mandel
Bronte's Mistress,Finola Austin
Credence,Penelope Douglas
The Night Watchman,Louise Erdrich
"Midnight Sun (Twilight, #5)",Stephenie Meyer
"Undercover Bromance (Bromance Book Club, #2)",Lyssa Kay Adams
Little Secrets,Jennifer Hillier
You Are Not Alone,Greer Hendricks
Fake It 'Til You Break It,Meagan Brandy
The Other Mrs.,Mary Kubica
If It Bleeds,Stephen King
The Travelers Within: Into The Unknown,Daniel Mode
Rodham,Curtis Sittenfeld
The Book of Lost Friends,Lisa Wingate
"Hate (Madison Kate, #1)",Tate James
"Fake (Madison Kate, #3)",Tate James
The Only Good Indians,Stephen Graham Jones
"Liar (Madison Kate, #2)",Tate James
Hidden Valley Road: Inside the Mind of an American Family,Robert  Kolker
"Eight Perfect Murders (Malcolm Kershaw, #1)",Peter  Swanson
The Honey-Don't List,Christina Lauren
Gilded Dreams (Newport's Gilded Age #2),Donna Russo Morin
"Woven in Moonlight (Woven in Moonlight, #1)",Isabel Ibañez
Playing with Fire,L.J. Shen
The Boatman's Daughter,Andy  Davidson
Weather,Jenny Offill
Dear Ava,Ilsa Madden-Mills
"Aurora Burning (The Aurora Cycle, #2)",Amie Kaufman
"Be My Brayshaw (Brayshaw, #4)",Meagan Brandy
The Switch,Beth O'Leary
"The Mirror & the Light (Thomas Cromwell, #3)",Hilary Mantel
The Mountains Sing,Nguyễn Phan Quế Mai
The City We Became (Great Cities #1),N.K. Jemisin
"Sigh, Gone: A Misfit's Memoir of Great Books, Punk Rock, and the Fight to Fit In",Phuc Tran
"The Queen's Assassin (The Queen's Secret, #1)",Melissa de la Cruz
Hamnet,Maggie O'Farrell
Piranesi,Susanna Clarke
"Troubled Blood (Cormoran Strike, #5)",Robert Galbraith
Un-Trumping America: A Plan to Make America a Democracy Again,Dan Pfeiffer
Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump
Inappropriate,Vi Keeland
The Yellow Bird Sings,Jennifer  Rosner
"Infinity Son (Infinity Cycle, #1)",Adam Silvera
I Want You to Know We're Still Here: A Post-Holocaust Memoir,Esther Safran Foer
What You Wish For,Katherine Center
All Boys Aren't Blue,George M. Johnson
Heart Bones,Colleen Hoover
Caste: The Origins of Our Discontents,Isabel Wilkerson
The Evening and the Morning,Ken Follett
Someday in Paris,Olivia Lara
The Edge of Belonging,Amanda  Cox
"The Empire of Gold (The Daevabad Trilogy, #3)",S.A. Chakraborty
Deacon King Kong,James   McBride
To Have and to Hoax,Martha Waters
"A Phoenix First Must Burn: Sixteen Stories of Black Girl Magic, Resistance, and Hope",Patrice Caldwell
You Deserve Each Other,Sarah Hogle
"Riot House (Crooked Sinners, #1)",Callie Hart
The Henna Artist,Alka Joshi
The Familiar Dark,Amy Engel
The Borgia Confessions,Alyssa Palombo
"Break Your Glass Slippers (You Are Your Own Fairy Tale, #1)",Amanda Lovelace
Blood Countess (Lady Slayers #1),Lana Popović
Yes No Maybe So,Becky Albertalli
"Vicious Prince (Royal Elite, #5)",Rina Kent
Where the Lost Wander,Amy Harmon
"Anna K: A Love Story (Anna K, #1)",Jenny Lee
"Twisted Kingdom (Royal Elite, #3)",Rina Kent
Pretty Things,Janelle Brown
The Paris Hours,Alex George
Inheritors,Asako Serizawa
Boot: A Sorta Novel of Vietnam,Charles L. Templeton
Follow Me,Kathleen  Barber
Boss Man Bridegroom,Meghan Quinn
When Time Stopped: A Memoir of My Father's War and What Remains,Ariana Neumann
"Don't Keep Silent (Uncommon Justice, #3)",Elizabeth Goddard
Transcendent Kingdom,Yaa Gyasi
The Midnight Library,Matt Haig
"The Hunter (Boston Belles, #1)",L.J. Shen
More Myself: A Journey,Alicia Keys
His & Hers,Alice Feeney
"Take a Hint, Dani Brown (The Brown Sisters, #2)",Talia Hibbert
Open Book,Jessica Simpson
"Chosen (Slayer, #2)",Kiersten White
"Dark Towers: Deutsche Bank, Donald Trump, and an Epic Trail of Destruction",David Enrich
Why We're Polarized,Ezra Klein
When We Were Vikings,Andrew David MacDonald
"The Hand on the Wall (Truly Devious, #3)",Maureen Johnson
Dear Enemy,Kristen Callihan
"A Longer Fall (Gunnie Rose, #2)",Charlaine Harris
The Knockout Queen,Rufi Thorpe
"Chaos Reigning (Consortium Rebellion, #3)",Jessie Mihalik
The Lies That Bind,Emily Giffin
Migrations,Charlotte McConaghy
The Operator,Gretchen Berg
The Exhibition of Persephone Q,Jessi Jezewska Stevens
"Chosen Ones (The Chosen Ones, #1)",Veronica Roth
"Alone in the Wild (Rockton, #5)",Kelley Armstrong
How Quickly She Disappears,Raymond Fleischmann
Cinderella Is Dead,Kalynn  Bayron
Whistleblower: My Journey to Silicon Valley and Fight for Justice at Uber,Susan Fowler
Apeirogon,Colum McCann
The Book of Two Ways,Jodi Picoult
The Eighth Detective,Alex Pavesi
The Happy Ever After Playlist,Abby Jimenez
If I Never Met You,Mhairi McFarlane
A Very Stable Genius: Donald J. Trump's Testing of America,Philip Rucker
"The Unspoken Name (The Serpent Gates, #1)",A.K. Larkwood
Godshot,Chelsea Bieker
One to Watch,Kate Stayman-London
Luster,Raven Leilani
Sharks in the Time of Saviors,Kawai Strong Washburn
Paris Never Leaves You,Ellen Feldman
How the West Stole Democracy from the Arabs: The Destruction of the Syrian Arab Kingdom in 1920 and the Rise of Anti-Liberal Islamism,Elizabeth F. Thompson
Hiding in Plain Sight: The Invention of Donald Trump and the Erosion of America,Sarah Kendzior
